timestamp,estado,codigo_http,web_az,region,app_az,app_status
2026-06-10 09:26:05.282,OK,200,eu-central-1c,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:05.943,OK,200,eu-central-1c,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:06.552,OK,200,eu-central-1a,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:07.197,OK,200,eu-central-1a,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:07.835,OK,200,eu-central-1b,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:08.448,OK,200,eu-central-1b,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:09.074,OK,200,eu-central-1c,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:09.698,OK,200,eu-central-1a,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:10.303,OK,200,eu-central-1c,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:10.947,OK,200,eu-central-1b,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:11.726,OK,200,eu-central-1c,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:12.467,OK,200,eu-central-1a,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:13.200,OK,200,eu-central-1a,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:13.874,OK,200,eu-central-1a,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:14.477,OK,200,eu-central-1b,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:15.126,OK,200,eu-central-1b,eu-central-1,eu-central-1a,Desconocido
2026-06-10 09:26:15.764,FAIL,500,Desconocida,Desconocida,Desconocida,Desconocido
2026-06-10 09:26:16.366,FAIL,500,Desconocida,Desconocida,Desconocida,Desconocido
2026-06-10 09:26:16.970,OK,200,eu-central-1b,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:17.597,OK,200,eu-central-1a,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:18.203,OK,200,eu-central-1a,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:18.808,OK,200,eu-central-1b,eu-central-1,eu-central-1c,Desconocido
2026-06-10 09:26:19.408,FAIL,500,Desconocida,Desconocida,Desconocida,Desconocido
2026-06-10 09:26:20.042,OK,200,eu-central-1b,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:20.660,FAIL,500,Desconocida,Desconocida,Desconocida,Desconocido
2026-06-10 09:26:21.257,OK,200,eu-central-1a,eu-central-1,eu-central-1b,Desconocido
2026-06-10 09:26:21.882,OK,200,eu-central-1b,eu-central-1,eu-central-1a,Desconocido
